sampleID	tree	sex	period	type	sexByName	typeByName	periodSex	periodSexByName
F398P2MS	F398	F	S2	S	Female	Rhizosphere soil	S2F	S2 Female
F398P3MS	F398	F	S3	S	Female	Rhizosphere soil	S3F	S3 Female
F405P1MS	F405	F	S1	S	Female	Rhizosphere soil	S1F	S1 Female
F405P2MS	F405	F	S2	S	Female	Rhizosphere soil	S2F	S2 Female
F405P3MS	F405	F	S3	S	Female	Rhizosphere soil	S3F	S3 Female
F406P1MS	F406	F	S1	S	Female	Rhizosphere soil	S1F	S1 Female
F406P2MS	F406	F	S2	S	Female	Rhizosphere soil	S2F	S2 Female
F406P3MS	F406	F	S3	S	Female	Rhizosphere soil	S3F	S3 Female
F416P1MS	F416	F	S1	S	Female	Rhizosphere soil	S1F	S1 Female
F416P2MS	F416	F	S2	S	Female	Rhizosphere soil	S2F	S2 Female
F416P3MS	F416	F	S3	S	Female	Rhizosphere soil	S3F	S3 Female
F427P1MS	F427	F	S1	S	Female	Rhizosphere soil	S1F	S1 Female
F427P2MS	F427	F	S2	S	Female	Rhizosphere soil	S2F	S2 Female
F427P3MS	F427	F	S3	S	Female	Rhizosphere soil	S3F	S3 Female
M354P1MS	M354	M	S1	S	Male	Rhizosphere soil	S1M	S1 Male
M354P2MS	M354	M	S2	S	Male	Rhizosphere soil	S2M	S2 Male
M354P3MS	M354	M	S3	S	Male	Rhizosphere soil	S3M	S3 Male
M365P1MS	M365	M	S1	S	Male	Rhizosphere soil	S1M	S1 Male
M365P2MS	M365	M	S2	S	Male	Rhizosphere soil	S2M	S2 Male
M365P3MS	M365	M	S3	S	Male	Rhizosphere soil	S3M	S3 Male
M373P1MS	M373	M	S1	S	Male	Rhizosphere soil	S1M	S1 Male
M373P2MS	M373	M	S2	S	Male	Rhizosphere soil	S2M	S2 Male
M373P3MS	M373	M	S3	S	Male	Rhizosphere soil	S3M	S3 Male
M376P1MS	M376	M	S1	S	Male	Rhizosphere soil	S1M	S1 Male
M376P2MS	M376	M	S2	S	Male	Rhizosphere soil	S2M	S2 Male
